Brand,Year,Model,UsedOrNew,Transmission,Kilometres,Price,State,Litres
Hyundai,2015,Accent,USED,Automatic,84924,14999,NSW,1.6
Land,2013,Rover,USED,Automatic,159558,38950,NSW,3.0
Ford,2013,Focus,USED,Automatic,67590,12990,NSW,1.6
Kia,2017,Sportage,USED,Automatic,65502,29990,NSW,2.4
Porsche,2010,Cayenne,USED,Automatic,193271,29990,NSW,4.8
Ford,2007,Territory,USED,Automatic,173839,8950,NSW,4.0
Nissan,2016,Navara,USED,Automatic,258936,21290,NSW,2.3
Toyota,2013,RAV4,USED,Automatic,292134,14995,NSW,2.2
Toyota,2008,Hilux,USED,Automatic,251000,21290,NSW,3.0
Mazda,2014,3,USED,Automatic,130242,16388,NSW,2.0
Hyundai,2021,Venue,USED,Automatic,35024,26990,NSW,1.6
BMW,2015,X1,USED,Automatic,44145,32000,NSW,2.0
BMW,2021,330I,USED,Automatic,29567,67988,NSW,2.0
Mazda,2007,6,USED,Automatic,223898,7600,NSW,2.3
Hyundai,2013,Veloster,USED,Automatic,155244,17990,NSW,1.6
Toyota,2017,Camry,USED,Automatic,149988,19950,NSW,2.5
Mitsubishi,2011,Lancer,USED,Automatic,205373,9990,NSW,2.0
Suzuki,2011,Swift,USED,Automatic,201011,7999,NSW,1.4
Ford,2008,Transit,USED,Manual,305593,9995,NSW,2.4
Peugeot,2017,308,USED,Automatic,57217,16990,NSW,1.2
Holden,2017,Trax,USED,Automatic,83147,17888,NSW,1.4
Mitsubishi,2015,Triton,USED,Automatic,204000,18995,NSW,2.5
Subaru,2013,Forester,USED,Manual,122077,16857,NSW,2.0
Mazda,2015,CX-3,USED,Automatic,60581,22990,NSW,2.0
Nissan,2010,Navara,USED,Manual,259488,13950,NSW,2.5
Holden,2017,Captiva,USED,Automatic,186954,12990,NSW,2.4
Kia,2017,Cerato,USED,Automatic,21350,22990,NSW,2.0
Audi,2016,RS3,USED,Automatic,47926,59990,NSW,2.5
Mitsubishi,2014,Triton,USED,Manual,88861,21880,NSW,2.5
Jeep,2007,Grand,USED,Automatic,199000,10990,NSW,3.0
Mercedes-Benz,2018,C200,USED,Automatic,72540,39990,NSW,2.0
Toyota,2020,Corolla,USED,Automatic,87043,39990,NSW,1.8
Ford,2012,Ranger,USED,Manual,254121,21990,NSW,3.2
